"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Nov 13 02:14:10 GMT 2021","Sat Nov 13 02:14:17 GMT 2021","7026","","Register a new account testSuite","","Register a new account testSuite","Wrong email : cyrillic symbols in local part","Wrong email : cyrillic symbols in local part",""
"passed","Sat Nov 13 02:13:57 GMT 2021","Sat Nov 13 02:14:03 GMT 2021","6664","","Register a new account testSuite","","Register a new account testSuite","Wrong password : only lowercase letters","Wrong password : only lowercase letters",""
"passed","Sat Nov 13 02:13:41 GMT 2021","Sat Nov 13 02:13:53 GMT 2021","11369","","Register a new account testSuite","","Register a new account testSuite","Successful registration","Successful registration",""
"passed","Sat Nov 13 02:13:42 GMT 2021","Sat Nov 13 02:13:52 GMT 2021","10401","","Register a new account testSuite","","Register a new account testSuite","Valid email address: printable characters !#$%&'*+-/=?^_`{|}~s in local part","Valid email address: printable characters !#$%&'*+-/=?^_`{|}~s in local part",""
"passed","Sat Nov 13 02:14:03 GMT 2021","Sat Nov 13 02:14:09 GMT 2021","6378","","Register a new account testSuite","","Register a new account testSuite","Wrong password : without digits","Wrong password : without digits",""
"passed","Sat Nov 13 02:13:43 GMT 2021","Sat Nov 13 02:13:48 GMT 2021","5313","","Register a new account testSuite","","Register a new account testSuite","Valid email address: digits and dot in local part","Valid email address: digits and dot in local part",""
"failed","Sat Nov 13 02:13:51 GMT 2021","Sat Nov 13 02:13:59 GMT 2021","8282","","Register a new account testSuite","","Register a new account testSuite","Valid email address: only capital letters in local part","Valid email address: only capital letters in local part",""
"passed","Sat Nov 13 02:13:31 GMT 2021","Sat Nov 13 02:13:36 GMT 2021","5002","","Login test suite","","Login test suite","Wrong password","Wrong password",""
"passed","Sat Nov 13 02:13:57 GMT 2021","Sat Nov 13 02:14:03 GMT 2021","5888","","Register a new account testSuite","","Register a new account testSuite","Wrong password : less than 8 symbols password","Wrong password : less than 8 symbols password",""
"passed","Sat Nov 13 02:13:51 GMT 2021","Sat Nov 13 02:13:57 GMT 2021","6116","","Register a new account testSuite","","Register a new account testSuite","All fields are empty","All fields are empty",""
"passed","Sat Nov 13 02:14:11 GMT 2021","Sat Nov 13 02:14:18 GMT 2021","6394","","Register a new account testSuite","","Register a new account testSuite","Wrong email : only digits in local part","Wrong email : only digits in local part",""
"passed","Sat Nov 13 02:13:30 GMT 2021","Sat Nov 13 02:13:43 GMT 2021","13146","","Login test suite","","Login test suite","Show password button check","Show password button check",""
"passed","Sat Nov 13 02:13:58 GMT 2021","Sat Nov 13 02:14:04 GMT 2021","5524","","Register a new account testSuite","","Register a new account testSuite","Wrong password : cyrillic symbols","Wrong password : cyrillic symbols",""
"passed","Sat Nov 13 02:14:10 GMT 2021","Sat Nov 13 02:14:16 GMT 2021","6394","","Register a new account testSuite","","Register a new account testSuite","Wrong email : without @ symbol","Wrong email : without @ symbol",""
"passed","Sat Nov 13 02:14:05 GMT 2021","Sat Nov 13 02:14:11 GMT 2021","6549","","Register a new account testSuite","","Register a new account testSuite","Wrong email : quotes and double dot in local part","Wrong email : quotes and double dot in local part",""
"passed","Sat Nov 13 02:14:03 GMT 2021","Sat Nov 13 02:14:10 GMT 2021","6365","","Register a new account testSuite","","Register a new account testSuite","Wrong email : double dot in the middle of local part","Wrong email : double dot in the middle of local part",""
"passed","Sat Nov 13 02:13:30 GMT 2021","Sat Nov 13 02:13:43 GMT 2021","13145","","Login test suite","","Login test suite","Emty password field","Emty password field",""
"passed","Sat Nov 13 02:13:53 GMT 2021","Sat Nov 13 02:13:58 GMT 2021","5612","","Register a new account testSuite","","Register a new account testSuite","Wrong password : only capital letters","Wrong password : only capital letters",""
"passed","Sat Nov 13 02:14:15 GMT 2021","Sat Nov 13 02:14:21 GMT 2021","5605","","Register a new account testSuite","","Register a new account testSuite","Wrong email : only special symbols in Local part","Wrong email : only special symbols in Local part",""
"failed","Sat Nov 13 02:14:33 GMT 2021","Sat Nov 13 02:14:51 GMT 2021","18151","","Register a new account testSuite","","Register a new account testSuite","Wrong email : local part > 64 characters","Wrong email : local part > 64 characters",""
"passed","Sat Nov 13 02:13:47 GMT 2021","Sat Nov 13 02:13:53 GMT 2021","5583","","Register a new account testSuite","","Register a new account testSuite","Valid email address: one letter local part","Valid email address: one letter local part",""
"failed","Sat Nov 13 02:14:30 GMT 2021","Sat Nov 13 02:14:49 GMT 2021","18609","","Register a new account testSuite","","Register a new account testSuite","Wrong email : dot in the end of local part","Wrong email : dot in the end of local part",""
"passed","Sat Nov 13 02:13:45 GMT 2021","Sat Nov 13 02:13:51 GMT 2021","5479","","Register a new account testSuite","","Register a new account testSuite","Valid email address: top level domain in domain name","Valid email address: top level domain in domain name",""
"failed","Sat Nov 13 02:13:42 GMT 2021","Sat Nov 13 02:13:52 GMT 2021","10773","","Register a new account testSuite","","Register a new account testSuite","Valid email address: lowercase and capital leters in local part","Valid email address: lowercase and capital leters in local part",""
"failed","Sat Nov 13 02:14:29 GMT 2021","Sat Nov 13 02:14:47 GMT 2021","18502","","Register a new account testSuite","","Register a new account testSuite","Wrong email : dot in the beginning of local part","Wrong email : dot in the beginning of local part",""
"passed","Sat Nov 13 02:13:30 GMT 2021","Sat Nov 13 02:13:43 GMT 2021","13141","","Login test suite","","Login test suite","Successful login","Successful login",""
"passed","Sat Nov 13 02:13:31 GMT 2021","Sat Nov 13 02:13:36 GMT 2021","4929","","Login test suite","","Login test suite","Empty email login","Empty email login",""
